Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang,Phonetic,Audio,CEFR
day,A period of 24 hours as a unit of time,gün,It was a sunny day.,"noun, verb",days,"24 hours, daytime","night, evening","day and night, day off",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=day&tl=en&client=tw-ob,A1
dead,No longer alive,ölü,The plant is dead.,"adjective, noun","deader, deadest","deceased, lifeless","alive, living","dead body, dead end",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=dead&tl=en&client=tw-ob,A1
deaf,Lacking the power of hearing or having impaired hearing,sağır,He was born deaf.,"adjective, noun","deafer, deafest","hearing-impaired, unhearing","hearing, sound","deaf ear, born deaf",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deaf&tl=en&client=tw-ob,A1
deal,Distribute (cards) in an orderly rotation to the players for a game or round,anlaşma,He dealt the cards to the players.,"verb, noun","deals, dealing, dealt","distribute, arrange","collect, gather","deal cards, deal with",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deal&tl=en&client=tw-ob,B1
deal in,Buy and sell (a particular product),ticaret yapmak,They deal in antiques.,phrasal verb,"deals in, dealing in, dealt in","trade, sell",none,"deal in goods, deal in services",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deal%20in&tl=en&client=tw-ob,B1
deal with,"Take measures concerning (someone or something), especially with the intention of putting something right",uğraşmak,She deals with customer complaints.,phrasal verb,"deals with, dealing with, dealt with","manage, handle","ignore, neglect","deal with problems, deal with issues",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deal%20with&tl=en&client=tw-ob,B2
dear,Regarded with deep affection,sevgili,She is a dear friend.,"adjective, noun","dearer, dearest","beloved, cherished","unloved, indifferent","dear friend, my dear",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=dear&tl=en&client=tw-ob,A1
death,The end of the life of a person or organism,ölüm,The sudden death of her father affected her deeply.,"noun, adjective",deaths,"demise, passing","birth, life","sudden death, cause of death",văn hóa,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=death&tl=en&client=tw-ob,A2
debate,"A formal discussion on a particular matter in a public meeting or legislative assembly, in which opposing arguments are put forward",tartışma,They had a debate about the new policy.,"noun, verb","debates, debating, debated","discussion, argument","agreement, accord","public debate, debate over",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=debate&tl=en&client=tw-ob,B1
debt,"Something, typically money, that is owed or due",borç,He is trying to pay off his debts.,"noun, verb",debts,"liability, arrears","credit, asset","pay off debt, in debt",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=debt&tl=en&client=tw-ob,A1
decade,A period of ten years,on yıl,He has been working here for a decade.,"noun, verb",decades,"ten years, 10-year period",none,"past decade, over a decade",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decade&tl=en&client=tw-ob,A2
decay,The state or process of rotting or decomposition,çürüme,The old house was in a state of decay.,"noun, verb","decays, decaying, decayed","decomposition, rot","growth, improvement","tooth decay, gradual decay",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decay&tl=en&client=tw-ob,A2
December,The twelfth month of the year,Aralık,They are planning a trip in December.,noun,none,twelfth month,none,"cold December, December 25th",du lịch,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=December&tl=en&client=tw-ob,B1
decide,Come to a resolution in the mind as a result of consideration,karar vermek,She decided to go to college.,"verb, noun","decides, deciding, decided","determine, choose","hesitate, waver","decide to go, decide quickly",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decide&tl=en&client=tw-ob,A2
decide on,Choose from a number of alternatives,karar vermek,They decided on a new strategy.,phrasal verb,"decides on, deciding on, decided on","select, opt for",none,"decide on a plan, decide on a course",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decide%20on&tl=en&client=tw-ob,B2
decision,A conclusion or resolution reached after consideration,karar,The decision was unanimous.,"noun, verb",decisions,"resolution, conclusion","indecision, hesitation","final decision, important decision",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decision&tl=en&client=tw-ob,B1
declare,Say something in a solemn and emphatic manner,ilan etmek,He declared his love for her.,"verb, noun","declares, declaring, declared","announce, proclaim","deny, retract","declare a state of emergency, declare love",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=declare&tl=en&client=tw-ob,B1
decline,"Become smaller, fewer, or less; decrease",gerilemek,The economy is beginning to decline.,"verb, noun","declines, declining, declined","diminish, reduce","increase, rise","steady decline, sharp decline",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decline&tl=en&client=tw-ob,B2
decorate,Make (something) look more attractive by adding extra items or images to it,süslemek,They decorated the room for the party.,"verb, noun","decorates, decorating, decorated","adorn, embellish","spoil, deface","decorate the house, decorate the room",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decorate&tl=en&client=tw-ob,B1
decoration,The process or art of decorating or adorning something,süsleme,The decoration of the hall was beautiful.,"noun, verb",decorations,"ornamentation, adornment",none,"holiday decoration, party decoration",văn hóa,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decoration&tl=en&client=tw-ob,B2
decorative,Serving to make something look more attractive; ornamental,süsleyici,She added decorative touches to her room.,"adjective, noun",decoratively,"ornamental, beautifying","plain, functional","decorative items, decorative purposes",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decorative&tl=en&client=tw-ob,B2
decrease,"Make or become smaller or fewer in size, amount, intensity, or degree",azalmak,There was a decrease in sales.,"verb, noun","decreases, decreasing, decreased","reduce, diminish","increase, rise","sharp decrease, slight decrease",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=decrease&tl=en&client=tw-ob,B1
deep,Extending far down from the top or surface,derin,The lake is very deep.,"adjective, noun","deeper, deepest","profound, bottomless","shallow, superficial","deep water, deep hole",du lịch,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deep&tl=en&client=tw-ob,A1
deeply,At or to a considerable extent downward,derinlemesine,She was deeply moved by the story.,adverb,"deeper, deepest","profoundly, strongly","slightly, lightly","deeply regret, deeply in love",văn hóa,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deeply&tl=en&client=tw-ob,A2
defeat,Win a victory over (someone) in a battle or other contest; overcome or beat,yenmek,They defeated the opposing team.,"verb, noun","defeats, defeating, defeated","conquer, overcome","surrender, lose","defeat the enemy, defeat the opponent",thức ăn,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=defeat&tl=en&client=tw-ob,A2
defence,The action of defending from or resisting attack,savunma,They built a wall for defence.,"noun, verb",defences,"protection, shield","attack, offense","self-defence, national defence",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=defence&tl=en&client=tw-ob,B1
defend,Resist an attack made on (someone or something); protect from harm or danger,savunmak,They defended their country from invaders.,"verb, noun","defends, defending, defended","protect, guard","attack, abandon","defend against, defend a position",du lịch,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=defend&tl=en&client=tw-ob,A2
define,"State or describe exactly the nature, scope, or meaning of",tanımlamak,Can you define this term?,"verb, noun","defines, defining, defined","explain, describe","confuse, obscure","define clearly, define terms",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=define&tl=en&client=tw-ob,B2
definite,Clearly stated or decided; not vague or doubtful,kesin,We need a definite answer by tomorrow.,"adjective, noun",definites,"certain, clear","indefinite, uncertain","definite answer, definite plans",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=definite&tl=en&client=tw-ob,B1
definitely,Without doubt (used for emphasis),kesinlikle,I definitely agree with you.,adverb,definitely,"certainly, surely","doubtfully, uncertainly","definitely true, definitely wrong",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=definitely&tl=en&client=tw-ob,B2
definition,"A statement of the exact meaning of a word, especially in a dictionary",tanım,The dictionary provides definitions for words.,"noun, verb",definitions,"meaning, explanation",misdefinition,"clear definition, precise definition",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=definition&tl=en&client=tw-ob,B2
degree,"The amount, level, or extent to which something happens or is present",derece,The temperature dropped by a few degrees.,"noun, verb",degrees,"level, extent",none,"high degree, degree of difficulty",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=degree&tl=en&client=tw-ob,B1
delay,Make (someone or something) late or slow,gecikmek,The flight was delayed due to bad weather.,"verb, noun","delays, delaying, delayed","postpone, defer","advance, hasten","flight delay, delay in delivery",du lịch,en,/dɪˈleɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/delay-1-us.mp3,A2
deliberate,Done consciously and intentionally,kasıtlı,It was a deliberate act of vandalism.,"adjective, verb","deliberates, deliberating, deliberated","intentional, planned","accidental, unplanned","deliberate attempt, deliberate action",luyện trí não,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=deliberate&tl=en&client=tw-ob,B2
deliberately,In a careful and unhurried way,kasıtlı olarak,She deliberately ignored him.,adverb,deliberately,"intentionally, purposefully","accidentally, unintentionally","deliberately avoid, deliberately ignore",du lịch,en,/dəˈlɪb(ə)ɹətli/,https://api.dictionaryapi.dev/media/pronunciations/en/deliberately-us.mp3,C1
delicate,Very fine in texture or structure; of intricate workmanship or quality,hassas,The fabric is delicate and should be handled carefully.,"adjective, noun",delicately,"fragile, fine","coarse, sturdy","delicate balance, delicate situation",nghề nghiệp,en,/ˈdɛlɪkət/,https://api.dictionaryapi.dev/media/pronunciations/en/delicate-us.mp3,B1
delight,Great pleasure,haz,She took great delight in her work.,"noun, verb","delights, delighting, delighted","joy, pleasure","displeasure, sadness","take delight in, much to someone's delight",nghề nghiệp,en,/dəˈlaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/delight-us.mp3,B1
delighted,Feeling or showing great pleasure,memnun,They were delighted with the results.,"adjective, verb",delights,"pleased, happy","displeased, unhappy","delighted with the outcome, delighted to hear",nghề nghiệp,en,/dɪˈlaɪtəd/,https://api.dictionaryapi.dev/media/pronunciations/en/delighted-us.mp3,B2
deliver,"Bring and hand over (a letter, parcel, or goods) to the proper recipient or address",teslim etmek,The courier delivered the package.,"verb, noun","delivers, delivering, delivered","hand over, bring","retain, keep","deliver a speech, deliver on a promise",khác,en,/dɪˈlɪvə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/deliver-us.mp3,B1
delivery,"The action of delivering letters, parcels, or goods",teslimat,The delivery was scheduled for Monday.,"noun, verb",deliveries,"distribution, dispatch",none,"delivery service, delivery time",khác,en,/dɪˈlɪv(ə)ɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/delivery-au.mp3,B1
demand,"An insistent and peremptory request, made as if by right",talep,They made a demand for higher wages.,"noun, verb","demands, demanding, demanded","request, need","supply, grant","high demand, demand for",nghề nghiệp,en,/dɪˈmɑːnd/,https://api.dictionaryapi.dev/media/pronunciations/en/demand-us.mp3,B1
demonstrate,Clearly show the existence or truth of (something) by giving proof or evidence,göstermek,The experiment demonstrated the principle.,"verb, noun","demonstrates, demonstrating, demonstrated","show, exhibit","conceal, hide","demonstrate skills, demonstrate clearly",khác,en,/ˈdɛmənstɹeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/demonstrate-us.mp3,B2
dentist,A person qualified to treat the diseases and conditions that affect the teeth and gums,dişçi,She has an appointment with the dentist.,noun,dentists,"oral surgeon, tooth doctor",none,"visit the dentist, family dentist",khác,en,/ˈdɛntɪst/,https://api.dictionaryapi.dev/media/pronunciations/en/dentist-us.mp3,B1
deny,State that one refuses to admit the truth or existence of,inkar etmek,He denied the allegations.,"verb, noun","denies, denying, denied","reject, refuse","accept, admit","deny the truth, deny an accusation",khác,en,/dɪˈnaɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/deny-us.mp3,B2
department,"A division of a large organization such as a government, university, business, or shop, dealing with a specific area of activity",departman,She works in the marketing department.,"noun, verb",departments,"division, section","whole, entirety","marketing department, sales department",nghề nghiệp,en,/dɪˈpɑːtm(ə)nt/,https://api.dictionaryapi.dev/media/pronunciations/en/department-us.mp3,B2
departure,"The action of leaving, especially to start a journey",ayrılma,Their departure was delayed due to weather conditions.,"noun, verb",departures,"exit, leaving","arrival, coming","departure time, sudden departure",du lịch,en,/dɪˈpɑː(ɹ)tjə(ɹ)/,https://api.dictionaryapi.dev/media/pronunciations/en/departure-uk.mp3,B2
depend,Be controlled or determined by,bağlı olmak,Their success depends on the weather.,"verb, noun","depends, depending, depended","rely, count","independent, self-reliant","depend heavily on, depend entirely on",luyện trí não,en,/dɪˈpɛnd/,https://api.dictionaryapi.dev/media/pronunciations/en/depend-us.mp3,B1
depend on,Be able to trust; rely on,güvenmek,You can depend on her support.,phrasal verb,"depends on, depending on, depended on","rely on, trust","distrust, doubt","depend on someone, depend on something",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=depend%20on&tl=en&client=tw-ob,B2
deposit,"A sum of money placed or kept in a bank account, usually to gain interest",mevduat,She made a deposit into her savings account.,"noun, verb","deposits, depositing, deposited","saving, investment","withdrawal, disbursement","bank deposit, make a deposit",nghề nghiệp,en,/dɪˈpɒzɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/deposit-us.mp3,B1
depress,Make (someone) feel utterly dispirited or dejected,moralini bozmak,The news depressed him.,"verb, noun","depresses, depressing, depressed","dishearten, sadden","encourage, uplift","depress the mood, depress prices",nghề nghiệp,en,/dɪˈpɹɛs/,https://translate.google.com/translate_tts?ie=UTF-8&q=depress&tl=en&client=tw-ob,B1
depressed,In a state of general unhappiness or despondency,depresyonda,He has been feeling depressed lately.,"adjective, verb",depressedly,"despondent, sad","happy, cheerful","clinically depressed, feeling depressed",nghề nghiệp,en,/dɪˈpɹɛst/,https://translate.google.com/translate_tts?ie=UTF-8&q=depressed&tl=en&client=tw-ob,B2
depressing,Causing a feeling of misery or despondency,iç karartıcı,The weather was depressing.,"adjective, verb",depressingly,"bleak, gloomy","cheerful, uplifting","depressing news, depressing atmosphere",nghề nghiệp,en,/dɪˈpɹɛsɪŋ(ɡ)/,https://translate.google.com/translate_tts?ie=UTF-8&q=depressing&tl=en&client=tw-ob,B2
depth,The distance from the top or surface to the bottom of something,derinlik,The depth of the lake is 50 meters.,"noun, verb",depths,"deepness, profundity",shallowness,"ocean depth, depth of knowledge",du lịch,en,/dɛpθ/,https://api.dictionaryapi.dev/media/pronunciations/en/depth-us.mp3,A2
derive,Obtain something from (a specified source),elde etmek,The word 'coffee' derives from the Arabic word 'qahwa'.,"verb, noun","derives, deriving, derived","extract, obtain",none,"derive benefit, derive pleasure",thức ăn,en,/dəˈɹaɪv/,https://api.dictionaryapi.dev/media/pronunciations/en/derive-us.mp3,B2
derive from,Obtain something from (a specified source),türemek,The new laws derive from earlier legislation.,phrasal verb,"derives from, deriving from, derived from","originate from, come from",none,"derive from roots, derive from words",văn hóa,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=derive%20from&tl=en&client=tw-ob,B2
describe,Give a detailed account in words of,tanımlamak,He described the scene in detail.,"verb, noun","describes, describing, described","explain, depict","confuse, distort","describe in detail, describe clearly",khác,en,/dəˈskɹaɪb/,https://api.dictionaryapi.dev/media/pronunciations/en/describe-us.mp3,A2
description,"A spoken or written account of a person, object, or event",tanım,She gave a vivid description of the scene.,"noun, verb",descriptions,"account, depiction",misdescription,"give a description, vivid description",khác,en,/dɪˈskɹɪpʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/description-us.mp3,B2
desert,"Abandon (a person, cause, or organization) in a way considered disloyal or treacherous",terk etmek,He deserted his post.,"verb, noun","deserts, deserting, deserted","abandon, forsake","support, remain","desert a friend, desert a cause",khác,en,/dɪˈzɜːt/,https://api.dictionaryapi.dev/media/pronunciations/en/desert-1-uk.mp3,A2
deserted,Empty of people,ıssız,The town was deserted.,"adjective, verb","deserts, deserting, deserted","empty, abandoned","crowded, inhabited","deserted street, deserted town",khác,en,/dɪˈzɜːtəd/,https://api.dictionaryapi.dev/media/pronunciations/en/deserted-us.mp3,B1
deserve,Do something or have or show qualities worthy of (reward or punishment),hak etmek,He deserves a reward for his efforts.,"verb, noun","deserves, deserving, deserved","earn, merit","unworthy, lose","deserve praise, deserve punishment",khác,en,/dɪˈzɜːv/,https://api.dictionaryapi.dev/media/pronunciations/en/deserve-us.mp3,B1
design,"A plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made",tasarım,The architect presented the design for the new building.,"noun, verb","designs, designing, designed","plan, blueprint","disorganize, disorder","design a building, fashion design",nghề nghiệp,en,/dɪˈzaɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/design-us.mp3,B1
desire,A strong feeling of wanting to have something or wishing for something to happen,arzu,He expressed his desire to travel the world.,"noun, verb","desires, desiring, desired","wish, craving","disinterest, aversion","strong desire, desire for",nghề nghiệp,en,/dɪˈzaɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/desire-us.mp3,A2
desk,"A piece of furniture with a flat or sloped surface and typically with drawers, used for writing, reading, or working",masa,She sat at her desk.,"noun, verb",desks,"table, workstation",none,"office desk, writing desk",nghề nghiệp,en,/dɛsk/,https://api.dictionaryapi.dev/media/pronunciations/en/desk-us.mp3,A1
desperate,Feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with,çaresiz,They were desperate for help.,"adjective, verb",desperation,"hopeless, despairing","hopeful, optimistic","desperate situation, desperate measures",nghề nghiệp,en,/ˈdɛsp(ə)ɹət/,https://api.dictionaryapi.dev/media/pronunciations/en/desperate-us.mp3,B2
desperately,In a way that shows despair,çaresizce,She desperately tried to reach him.,adverb,desperations,"hopelessly, despairingly","hopefully, optimistically","desperately need, desperately try",khác,en,/ˈdɛsp(ə)ɹətli/,https://api.dictionaryapi.dev/media/pronunciations/en/desperately-us.mp3,B2
despite,Without being affected by; in spite of,rağmen,They went out despite the rain.,preposition,none,"in spite of, notwithstanding","because of, due to","despite the difficulties, despite the fact",khác,en,/dɪˈspaɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/despite-us.mp3,B1
destroy,Put an end to the existence of (something) by damaging or attacking it,yok etmek,The fire destroyed the building.,"verb, noun","destroys, destroying, destroyed","ruin, demolish","build, create","destroy completely, destroy evidence",nghề nghiệp,en,/dɪˈstɹɔɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/destroy-us.mp3,B1
destruction,The action or process of causing so much damage to something that it no longer exists or cannot be repaired,yıkım,The storm caused widespread destruction.,"noun, verb",destructions,"demolition, ruin","construction, creation","complete destruction, cause destruction",khác,en,/ˌdɪsˈtɹʌkʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/destruction-us.mp3,B2
detail,"An individual feature, fact, or item",ayrıntı,He explained every detail of the plan.,"noun, verb",details,"aspect, feature",generalization,"every detail, fine detail",trường học,en,/ˈdiːteɪl/,https://api.dictionaryapi.dev/media/pronunciations/en/detail-uk-noun.mp3,A2
detailed,Having many details or facts; showing attention to detail,ayrıntılı,The report was very detailed.,"adjective, verb",detailedly,"thorough, comprehensive","vague, general","detailed report, detailed description",nghề nghiệp,en,/dɪˈteɪld/,https://api.dictionaryapi.dev/media/pronunciations/en/detailed-us.mp3,B1
determination,Firmness of purpose; resoluteness,kararlılık,Her determination to succeed was impressive.,"noun, verb",determinations,"resolve, perseverance","indecision, hesitation","strong determination, fierce determination",khác,en,/dɪˌtɜːmɪˈneɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/determination-us.mp3,C1
determine,"Ascertain or establish exactly, typically as a result of research or calculation",belirlemek,The investigation will determine the cause of the accident.,"verb, noun","determines, determining, determined","decide, establish","misjudge, overlook","determine the cause, determine the outcome",nghề nghiệp,en,/dɪˈtɜːmɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/determine-ca.mp3,B2
determined,Having made a firm decision and being resolved not to change it,kararlı,She is determined to finish the project.,"adjective, verb",determinedly,"resolute, resolute","indecisive, hesitant","determined effort, determined to succeed",nghề nghiệp,en,/dɪˈtɜːmɪnd/,https://api.dictionaryapi.dev/media/pronunciations/en/determined-ca.mp3,B2
develop,"Grow or cause to grow and become more mature, advanced, or elaborate",gelişmek,The company plans to develop new products.,"verb, noun","develops, developing, developed","expand, grow","decline, regress","develop skills, develop rapidly",nghề nghiệp,en,/dɛˈvɛ.ləp/,https://api.dictionaryapi.dev/media/pronunciations/en/develop-us.mp3,B1
development,The process of developing or being developed,gelişim,The development of the new software is underway.,"noun, verb",developments,"advancement, growth","stagnation, halt","economic development, sustainable development",luyện trí não,en,/dɪˈvɛləpmənt/,https://api.dictionaryapi.dev/media/pronunciations/en/development-us.mp3,B2
device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment",cihaz,She uses a device to track her fitness.,"noun, verb",devices,"gadget, tool",none,"electronic device, medical device",khác,en,/dəˈvaɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/device-us.mp3,A2
devote,"Give all or a large part of one's time or resources to (a person, activity, or cause)",adamak,She devoted her life to helping the poor.,"verb, noun","devotes, devoting, devoted","dedicate, allocate","neglect, ignore","devote time, devote energy",khác,en,/dɪˈvəʊt/,https://api.dictionaryapi.dev/media/pronunciations/en/devote-us.mp3,A2
devoted,Very loving or loyal,sadık,He is a devoted husband.,"adjective, verb",devotedly,"loyal, faithful","disloyal, unfaithful","devoted fan, devoted friend",khác,en,/dɪˈvəʊtəd/,https://api.dictionaryapi.dev/media/pronunciations/en/devoted-us.mp3,B1
devote to,Give one's time or effort to (a person or purpose),adamak,She devoted herself to her studies.,phrasal verb,"devotes to, devoting to, devoted to","dedicate to, commit to","neglect, ignore","devote to work, devote to cause",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=devote%20to&tl=en&client=tw-ob,B2
diagram,"A simplified drawing showing the appearance, structure, or workings of something; a schematic representation",diyagram,The diagram shows the parts of the engine.,"noun, verb",diagrams,"chart, schematic",none,"create a diagram, draw a diagram",nghề nghiệp,en,/ˈdaɪ.ə.ɡɹæm/,https://translate.google.com/translate_tts?ie=UTF-8&q=diagram&tl=en&client=tw-ob,B1
diamond,"A precious stone consisting of a clear and typically colorless crystalline form of pure carbon, the hardest naturally occurring substance",elmas,She received a diamond ring.,"noun, verb",diamonds,"gem, jewel",none,"diamond necklace, diamond mine",du lịch,en,/ˈdaɪ(ə)mənd/,https://api.dictionaryapi.dev/media/pronunciations/en/diamond-us.mp3,B1
diary,A book in which one keeps a daily record of events and experiences,günlük,She writes in her diary every day.,"noun, verb",diaries,"journal, log",none,"keep a diary, write in a diary",trường học,en,/ˈdaɪəɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/diary-us.mp3,A2
dictionary,"A book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language",sözlük,You can find the meaning of words in a dictionary.,"noun, verb",dictionaries,"lexicon, glossary",none,"pocket dictionary, bilingual dictionary",trường học,en,/ˈdɪkʃəˌnɛɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/dictionary-uk.mp3,B2
die,Stop living,ölmek,He died peacefully in his sleep.,"verb, noun","dies, dying, died","pass away, expire","live, survive","die young, die hard",khác,en,/daɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/die-us.mp3,A1
die away,Gradually diminish in sound or intensity,azalmak,The sound of the music died away.,phrasal verb,"dies away, dying away, died away","fade, diminish","increase, intensify","die away slowly, die away completely",văn hóa,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=die%20away&tl=en&client=tw-ob,B1
die out,Become extinct,nesli tükenmek,Dinosaurs died out millions of years ago.,phrasal verb,"dies out, dying out, died out","become extinct, vanish","thrive, survive","species die out, tradition die out",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=die%20out&tl=en&client=tw-ob,B1
diet,"The kinds of food that a person, animal, or community habitually eats",diyet,He is on a strict diet.,"noun, verb",diets,"nutrition, regimen",none,"balanced diet, special diet",thức ăn,en,/ˈdaɪət/,https://api.dictionaryapi.dev/media/pronunciations/en/diet-us.mp3,A1
difference,A point or way in which people or things are not the same,fark,There is a big difference between them.,"noun, verb",differences,"discrepancy, distinction","similarity, sameness","make a difference, big difference",khác,en,/ˈdɪfəɹən(t)s/,https://api.dictionaryapi.dev/media/pronunciations/en/difference-us.mp3,B1
different,Not the same as another or each other,farklı,They have different opinions.,"adjective, verb",differently,"distinct, dissimilar","same, similar","different types, different from",luyện trí não,en,/ˈdɪf.(ə)ɹ.ənt/,https://api.dictionaryapi.dev/media/pronunciations/en/different-us.mp3,A2
differently,In a way that is not the same,farklı şekilde,She thinks differently than her parents.,adverb,different,"alternatively, variously","similarly, alike","think differently, act differently",luyện trí não,en,/ˈdifəɹəntli/,https://api.dictionaryapi.dev/media/pronunciations/en/differently-us.mp3,B2
difficult,"Needing much effort or skill to accomplish, deal with, or understand",zor,This is a difficult problem to solve.,"adjective, noun",difficulties,"challenging, hard","easy, simple","difficult task, difficult situation",luyện trí não,en,/ˈdɪfɪkəlt/,https://api.dictionaryapi.dev/media/pronunciations/en/difficult-uk.mp3,A2
difficulty,The state or condition of being difficult,zorluk,He had difficulty understanding the instructions.,"noun, verb",difficulties,"challenge, struggle","ease, simplicity","have difficulty with, face difficulty",trường học,en,/ˈdɪfɪkəlti/,https://api.dictionaryapi.dev/media/pronunciations/en/difficulty-us.mp3,B2
dig,"Break up and move earth with a tool or machine, or with hands, paws, snout, etc.",kazmak,They began to dig a hole.,"verb, noun","digs, digging, dug","excavate, delve","fill, cover","dig a hole, dig deep",khác,en,/dɪɡ/,https://api.dictionaryapi.dev/media/pronunciations/en/dig-1-us.mp3,A1
digital,Involving or relating to the use of computer technology,dijital,She bought a new digital camera.,"adjective, noun",digitally,"electronic, computerized",analog,"digital technology, digital age",khác,en,/ˈdɪd͡ʒɪtəɫ/,https://api.dictionaryapi.dev/media/pronunciations/en/digital-us.mp3,B1
dinner,"The main meal of the day, taken either around midday or in the evening",akşam yemeği,They invited us to dinner.,"noun, verb",dinners,"meal, supper","breakfast, lunch","dinner party, have dinner",thức ăn,en,/ˈdɪnə/,https://api.dictionaryapi.dev/media/pronunciations/en/dinner-uk.mp3,A2
direct,Extending or moving from one place to another without changing direction or stopping,doğrudan,He gave me direct instructions.,"adjective, verb",directly,"straight, straightforward","indirect, roundabout","direct route, direct communication",khác,en,/d(a)ɪˈɹɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/direct-us.mp3,A2
direction,A course along which someone or something moves,yön,They headed in the same direction.,"noun, verb",directions,"route, path","disorientation, confusion","give direction, change direction",trường học,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=direction&tl=en&client=tw-ob,A2
directly,Without changing direction or stopping,doğrudan,She spoke to me directly.,adverb,directly,"straight, immediately","indirectly, circuitously","speak directly, directly address",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=directly&tl=en&client=tw-ob,B1
director,"A person who is in charge of an activity, department, or organization",yönetmen,The film director was praised for his work.,"noun, verb",directors,"manager, head","subordinate, employee","film director, company director",nghề nghiệp,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=director&tl=en&client=tw-ob,B1
dirt,"A substance, such as soil, that makes something dirty",kir,His shoes were covered in dirt.,"noun, verb",dirts,"soil, grime","cleanliness, purity","covered in dirt, dirt road",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=dirt&tl=en&client=tw-ob,A1
dirty,Covered or marked with an unclean substance,kirli,The floor was dirty.,"adjective, verb",dirties,"filthy, unclean","clean, spotless","dirty clothes, dirty hands",khác,en,,https://translate.google.com/translate_tts?ie=UTF-8&q=dirty&tl=en&client=tw-ob,A2
