Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
cigarette,A thin cylinder of finely cut tobacco rolled in paper for smoking,sigara,He lit a cigarette.,"noun, verb",cigarettes,"smoke, fag",none,"light a cigarette, cigarette smoke",khác,en
cinema,A theater where films are shown,sinema,They went to the cinema to watch a movie.,noun,cinemas,"movie theater, film house",none,"go to the cinema, cinema hall",văn hóa,en
circle,A round plane figure whose boundary (the circumference) consists of points equidistant from a fixed center,çember,He drew a circle on the paper.,"noun, verb","circles, circling, circled","ring, round",none,"draw a circle, circle of friends",luyện trí não,en
circumstance,A fact or condition connected with or relevant to an event or action,durum,The circumstances of the accident are still unclear.,noun,circumstances,"situation, condition",none,"under the circumstances, difficult circumstances",khác,en
citizen,"A legally recognized subject or national of a state or commonwealth, either native or naturalized",vatandaş,She is a citizen of the United States.,"noun, verb",citizens,"national, subject","foreigner, alien","citizen of a country, proud citizen",trường học,en
city,A large town,şehir,They live in a large city.,"noun, adjective",cities,"metropolis, town","village, rural area","big city, city life",du lịch,en
civil,"Relating to ordinary citizens and their concerns, as distinct from military or ecclesiastical matters",sivil,They discussed civil rights issues.,"adjective, noun",civilly,"non-military, civilian","military, ecclesiastical","civil rights, civil law",văn hóa,en
claim,"State or assert that something is the case, typically without providing evidence or proof",iddia etmek,She claimed to have seen the missing person.,"verb, noun","claims, claiming, claimed","assert, declare","deny, disclaim","claim responsibility, claim innocence",khác,en
clap,"Strike the palms of (one's hands) together repeatedly, typically in order to applaud",alkışlamak,The audience clapped loudly.,"verb, noun","claps, clapping, clapped","applaud, cheer","boo, jeer","clap hands, clap loudly",khác,en
class,"A set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality",sınıf,He is in the top class of his grade.,"noun, verb","classes, classing, classed","category, group","individual, singular","class of students, social class",trường học,en
classic,Judged over a period of time to be of the highest quality and outstanding of its kind,klasik,That book is a classic.,"adjective, noun",classics,"masterpiece, exemplary","ordinary, modern","classic novel, classic example",trường học,en
classroom,A room in which a class of students is taught,sınıf,The classroom was full of students.,noun,classrooms,"schoolroom, lecture room",none,"classroom activities, classroom environment",trường học,en
clean,"Free from dirt, marks, or stains",temiz,She cleaned the kitchen.,"adjective, verb","cleans, cleaning, cleaned","spotless, tidy","dirty, stained","clean the house, clean clothes",khác,en
clean up,Make neat and tidy by removing rubbish or unwanted items,temizlemek,They cleaned up after the party.,phrasal verb,"cleans up, cleaning up, cleaned up","tidy up, clean","mess up, clutter","clean up the mess, clean up quickly",khác,en
clear,"Easy to perceive, understand, or interpret",açık,The instructions were clear.,"adjective, verb, noun","clears, clearing, cleared","obvious, unmistakable","confusing, ambiguous","clear sky, clear instructions",luyện trí não,en
clearly,"In a way that is easy to see, hear, or understand",açıkça,She spoke clearly into the microphone.,adverb,"clearer, clearest","plainly, distinctly","unclearly, vaguely","speak clearly, see clearly",trường học,en
clerk,"A person employed in an office or bank to keep records, accounts, and undertake other routine administrative duties",katip,He works as a clerk at the bank.,"noun, verb",clerks,"office worker, administrator",none,"office clerk, sales clerk",nghề nghiệp,en
clever,"Quick to understand, learn, and devise or apply ideas; intelligent",zeki,She is very clever and always has good ideas.,"adjective, noun","cleverer, cleverest","intelligent, smart","dull, foolish","clever idea, clever solution",luyện trí não,en
click,Press a button or switch on a computer mouse or other device,tıklamak,He clicked the mouse to open the file.,"verb, noun","clicks, clicking, clicked","press, hit",none,"double click, right click",khác,en
client,A person or organization using the services of a lawyer or other professional person or company,müşteri,The lawyer met with her client.,noun,clients,"customer, patron","provider, professional","potential client, loyal client",nghề nghiệp,en
climate,The weather conditions prevailing in an area in general or over a long period,iklim,The climate in this region is very dry.,"noun, verb",climates,"weather, weather conditions",none,"tropical climate, changing climate",khác,en
climb,"Go or come up (a slope, incline, or staircase), especially by using the feet and sometimes the hands; ascend",tırmanmak,They climbed the mountain.,"verb, noun","climbs, climbing, climbed","ascend, scale","descend, fall","climb a mountain, climb stairs",nghề nghiệp,en
climbing,The sport or activity of ascending mountains or cliffs,tırmanış,He enjoys rock climbing.,"noun, adjective",climbing,"mountaineering, rock climbing",none,"climbing gear, climbing wall",du lịch,en
clock,"A mechanical or electrical device for measuring time, typically by hands on a round dial or by displayed digits",saat,The clock on the wall showed 3 PM.,"noun, verb",clocks,"timepiece, timer",none,"alarm clock, wall clock",khác,en
close 1,Move so as to cover an opening,kapatmak,She closed the door.,"verb, noun","closes, closing, closed","shut, seal","open, uncover","close the window, close the book",khác,en
close 2,Near in space or time,yakın,The store is close to my house.,"adjective, verb, noun","closer, closest","near, nearby","far, distant","close friend, close proximity",khác,en
closed,Not open,kapalı,The shop is closed on Sundays.,adjective,closed,"shut, locked",open,"closed door, closed shop",khác,en
closely,With little or no space or time in between,yakından,She followed closely behind him.,adverb,"closer, closest","nearly, almost",distantly,"closely related, closely monitor",khác,en
closet,"A cupboard or wardrobe, especially one tall enough to walk into",dolap,She hung her coat in the closet.,"noun, verb",closets,"wardrobe, cupboard",none,"walk-in closet, clothes closet",thức ăn,en
cloth,"Woven or felted fabric made from wool, cotton, or a similar fiber",kumaş,The cloth was soft and smooth.,noun,cloths,"fabric, textile",none,"cotton cloth, piece of cloth",khác,en
clothes,Items worn to cover the body,giysi,She bought new clothes.,"noun, verb",clothes,"apparel, attire",none,"winter clothes, new clothes",khác,en
clothing,Items worn to cover the body,giyim,Winter clothing is now on sale.,"noun, verb",clothings,"attire, garments",nakedness,"winter clothing, clothing store",khác,en
cloud,"A visible mass of condensed watery vapor floating in the atmosphere, typically high above the ground",bulut,The sky was full of dark clouds.,"noun, verb","clouds, clouding, clouded","vapor, mist",clear sky,"rain cloud, cloud formation",thức ăn,en
club,An association dedicated to a particular interest or activity,kulüp,He joined the chess club.,"noun, verb","clubs, clubbing, clubbed","society, group",none,"sports club, join a club",khác,en
coal,A combustible black or dark brown rock consisting chiefly of carbonized plant matter,kömür,Coal is used as a fuel.,"noun, adjective",coals,"charcoal, fossil fuel",none,"coal mine, coal industry",du lịch,en
coast,The part of the land adjoining or near the sea,kıyı,They walked along the coast.,"noun, verb","coasts, coasting, coasted","shore, coastline",inland,"west coast, east coast",du lịch,en
coat,"An outer garment worn outdoors, typically having sleeves and fastening down the front",ceket,She wore a warm coat.,"noun, verb","coats, coating, coated","jacket, overcoat",none,"winter coat, fur coat",khác,en
code,"A system of words, letters, figures, or symbols used to represent others, especially for the purposes of secrecy",kod,They cracked the secret code.,"noun, verb","codes, coding, coded","cipher, cryptogram",none,"morse code, secret code",văn hóa,en
coffee,A hot drink made from the roasted and ground seeds (coffee beans) of a tropical shrub,kahve,She drank a cup of coffee.,"noun, verb",coffees,"brew, java",none,"cup of coffee, coffee shop",thức ăn,en
coin,"A flat, typically round piece of metal with an official stamp, used as money",madeni para,He put a coin into the vending machine.,"noun, verb","coins, coining, coined","currency, cash","bill, note","gold coin, coin collection",khác,en
cold,"Of or at a low or relatively low temperature, especially when compared with the temperature of the human body",soğuk,The water is cold.,"adjective, noun",colds,"chilly, cool","hot, warm","cold weather, cold drink",thức ăn,en
coldly,In an unfriendly way; without emotion,soğukkanlılıkla,She spoke coldly to him.,adverb,"colder, coldest","unemotionally, indifferently","warmly, kindly","speak coldly, treat coldly",thức ăn,en
collapse,Fall down or in; give way,çökmek,The building collapsed after the earthquake.,"verb, noun","collapses, collapsing, collapsed","crumble, fall","stand, rise","building collapse, sudden collapse",khác,en
colleague,A person with whom one works in a profession or business,meslektaş,She met with a colleague after work.,noun,colleagues,"coworker, associate","rival, enemy","trusted colleague, senior colleague",nghề nghiệp,en
collect,"Bring or gather together (things, typically when scattered or widespread)",toplamak,They collected donations for the charity.,"verb, noun","collects, collecting, collected","gather, assemble","disperse, scatter","collect data, collect stamps",khác,en
collection,The action or process of collecting someone or something,koleksiyon,He has a collection of vintage cars.,noun,collections,"gathering, compilation","dispersal, separation","art collection, collection of books",du lịch,en
college,"An educational institution or establishment, in particular one providing higher education or specialized professional or vocational training",kolej,She attended a prestigious college.,"noun, verb",colleges,"university, institute",none,"community college, college student",nghề nghiệp,en
colour,The property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light,renk,Her favorite colour is blue.,"noun, verb","colours, colouring, coloured","hue, shade",none,"bright colour, favourite colour",luyện trí não,en
coloured,"Having a colour or colours, especially as opposed to being black, white, or neutral",renkli,She wore a brightly coloured dress.,adjective,coloured,"tinted, painted","colorless, neutral","brightly coloured, highly coloured",khác,en
column,"An upright pillar, typically cylindrical, supporting an arch or other structure or standing alone as a monument",sütun,The column supports the roof.,"noun, verb",columns,"pillar, post",none,"marble column, ancient column",du lịch,en
combination,A joining or merging of different parts or qualities in which the component elements are individually distinct,kombinasyon,The combination of flavors in the dish was perfect.,noun,combinations,"mix, blend","separation, division","perfect combination, unusual combination",thức ăn,en
combine,Join or merge to form a single unit or substance,birleştirmek,We combined our resources to finish the project.,"verb, noun","combines, combining, combined","merge, unite","separate, divide","combine efforts, combine ingredients",nghề nghiệp,en
come,Move or travel toward or into a place thought of as near or familiar to the speaker,gelmek,She will come to the party.,"verb, noun","comes, coming, came","arrive, approach","go, leave","come here, come back",du lịch,en
come across,Meet or find by chance,karşılaşmak,I came across an old friend yesterday.,phrasal verb,"comes across, coming across, came across","encounter, stumble upon","miss, overlook","come across something, come across someone",khác,en
comedy,"Professional entertainment consisting of jokes and satirical sketches, intended to make an audience laugh",komedi,We watched a comedy show.,"noun, verb",comedies,"humor, farce","tragedy, drama","stand-up comedy, comedy show",nghề nghiệp,en
come from,Originate from a place,gelmek,She comes from France.,phrasal verb,"comes from, coming from, came from","originate, derive",none,"come from a city, come from a country",khác,en
come in,Enter,girmek,"Come in, the door is open.",phrasal verb,"comes in, coming in, came in","enter, go in","exit, leave","come in quietly, come in quickly",khác,en
come off,Happen as a result,sonuçlanmak,The project came off successfully.,phrasal verb,"comes off, coming off, came off","result, transpire","fail, go wrong","come off as planned, come off well",nghề nghiệp,en
come on,Start to arrive or happen,başlamak,"Come on, we are going to be late.",phrasal verb,"comes on, coming on, came on","begin, start","stop, finish","come on time, come on stage",khác,en
come out,Become known or be revealed,ortaya çıkmak,The truth will come out eventually.,phrasal verb,"comes out, coming out, came out","emerge, be revealed","be hidden, stay hidden","come out of hiding, come out clean",khác,en
come round,Recover consciousness,kendine gelmek,He came round after fainting.,phrasal verb,"comes round, coming round, came round","regain consciousness, wake up","pass out, lose consciousness","come round soon, come round quickly",luyện trí não,en
come to,Regain consciousness,kendine gelmek,He came to after fainting.,phrasal verb,"comes to, coming to, came to","regain consciousness, wake up","pass out, lose consciousness","come to realize, come to understand",luyện trí não,en
come up,Move towards someone,yaklaşmak,He came up to her and introduced himself.,phrasal verb,"comes up, coming up, came up","approach, advance","retreat, withdraw","come up with a solution, come up soon",khác,en
come up to,Reach a particular level or amount,ulaşmak,The water came up to my knees.,phrasal verb,"comes up to, coming up to, came up to","reach, get to","fall short, fail","come up to the mark, come up to expectations",thức ăn,en
comfort,A state of physical ease and freedom from pain or constraint,rahatlık,He felt a sense of comfort.,"noun, verb","comforts, comforting, comforted","ease, consolation","discomfort, pain","sense of comfort, comfort food",văn hóa,en
comfortable,Providing physical ease and relaxation,rahat,She sat in a comfortable chair.,adjective,comfortably,"cozy, relaxed","uncomfortable, uneasy","comfortable chair, comfortable life",khác,en
comfortably,In a comfortable manner,rahat bir şekilde,He was comfortably seated.,adverb,comfortables,"easily, snugly","uncomfortably, uneasily","comfortably sit, comfortably sleep",du lịch,en
command,Give an authoritative order,emretmek,The officer commanded the troops.,"verb, noun","commands, commanding, commanded","order, direct","obey, follow","command attention, command the troops",nghề nghiệp,en
comment,A verbal or written remark expressing an opinion or reaction,yorum,She made a comment about the film.,"noun, verb","comments, commenting, commented","remark, statement","silence, ignore","make a comment, comment on",luyện trí não,en
commercial,Making or intended to make a profit,ticari,They made a commercial decision.,"adjective, noun",commercials,"profit-making, trade","noncommercial, nonprofit","commercial success, commercial break",nghề nghiệp,en
commission,"An instruction, command, or duty given to a person or group of people",komisyon,He received a commission to paint a portrait.,"noun, verb","commissions, commissioning, commissioned","task, duty",none,"commission work, art commission",nghề nghiệp,en
commit,"Carry out or perpetrate (a mistake, crime, or immoral act)",işlemek,He committed a crime.,"verb, noun","commits, committing, committed","perform, perpetrate","abstain, desist","commit a mistake, commit to memory",du lịch,en
commitment,"The state or quality of being dedicated to a cause, activity, etc.",bağlılık,Her commitment to the cause is admirable.,noun,commitments,"dedication, devotion","indifference, neglect","strong commitment, personal commitment",khác,en
committee,A group of people appointed for a specific function by a larger group and typically consisting of members of that group,komite,The committee meets once a month.,noun,committees,"board, panel","individual, person","advisory committee, planning committee",khác,en
common,"Occurring, found, or done often; prevalent",yaygın,It's common to see deer in this area.,"adjective, noun","commoner, commonest","usual, typical","rare, uncommon","common practice, common sense",khác,en
commonly,Very often; frequently,yaygın olarak,This plant is commonly found in gardens.,adverb,common,"generally, often","rarely, seldom","commonly used, commonly known",luyện trí não,en
communicate,"Share or exchange information, news, or ideas",iletişim kurmak,They communicate regularly via email.,"verb, noun","communicates, communicating, communicated","converse, convey","miscommunicate, confuse","communicate clearly, communicate effectively",luyện trí não,en
communication,The imparting or exchanging of information or news,iletişim,Effective communication is key to success.,noun,communications,"conversation, dialogue","miscommunication, silence","effective communication, communication skills",luyện trí não,en
community,A group of people living in the same place or having a particular characteristic in common,topluluk,The community came together to clean the park.,"noun, adjective",communities,"society, group","individual, person","community service, community center",văn hóa,en
company,A commercial business,şirket,She works for a large company.,"noun, verb",companies,"business, corporation",none,"international company, successful company",nghề nghiệp,en
compare,"Estimate, measure, or note the similarity or dissimilarity between",karşılaştırmak,The report compares the results of the two studies.,"verb, noun","compares, comparing, compared","contrast, evaluate",none,"compare prices, compare notes",luyện trí não,en
comparison,The act or instance of comparing,karşılaştırma,A comparison of the two books shows several similarities.,noun,comparisons,"contrast, evaluation",none,"make a comparison, comparison between",trường học,en
compete,Strive to gain or win something by defeating or establishing superiority over others,yarışmak,They compete against each other in sports.,"verb, noun","competes, competing, competed","contend, vie","cooperate, assist","compete in a race, compete with others",luyện trí não,en
competition,The activity or condition of striving to gain or win something by defeating or establishing superiority over others,yarışma,The competition was fierce.,noun,competitions,"contest, rivalry","collaboration, cooperation","enter a competition, tough competition",khác,en
competitive,As good as or better than others of a comparable nature,rekabetçi,She has a competitive spirit.,"adjective, noun",competitively,"ambitious, driven","uncompetitive, unambitious","competitive market, competitive advantage",văn hóa,en
complain,Express dissatisfaction or annoyance about something,şikayet etmek,He complained about the noise.,"verb, noun","complains, complaining, complained","protest, grumble","praise, compliment","complain about the service, complain loudly",luyện trí não,en
complaint,A statement that something is unsatisfactory or unacceptable,şikayet,They filed a complaint with the manager.,"noun, verb",complaints,"grievance, objection","praise, approval","file a complaint, customer complaint",nghề nghiệp,en
complete,Having all the necessary or appropriate parts,tamamlamak,She completed the puzzle.,"verb, adjective","completes, completing, completed","finish, accomplish","incomplete, partial","complete the task, complete the form",luyện trí não,en
completely,Totally; utterly,tamamen,The room was completely silent.,adverb,complete,"entirely, fully","partially, incompletely","completely agree, completely different",khác,en
complex,Consisting of many different and connected parts,karmaşık,The problem is complex.,"adjective, noun",complexes,"complicated, intricate","simple, straightforward","complex system, complex issue",luyện trí não,en
complicate,Make (something) more difficult or confusing by causing it to be more complex,karmaşık hale getirmek,The new rules complicate matters.,"verb, noun","complicates, complicating, complicated","confuse, entangle","simplify, clarify","complicate matters, complicate the situation",khác,en
complicated,Consisting of many interconnecting parts or elements; intricate,karmaşık,The instructions were complicated.,adjective,"complicates, complicating, complicated","intricate, complex","simple, straightforward","complicated issue, complicated process",khác,en
computer,"An electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program",bilgisayar,She uses a computer for work.,"noun, verb",computers,"PC, laptop",none,"desktop computer, computer program",nghề nghiệp,en
concentrate,Focus all one's attention on a particular object or activity,konsantre olmak,She needs to concentrate on her studies.,"verb, noun","concentrates, concentrating, concentrated","focus, center","ignore, disregard","concentrate hard, concentrate fully",luyện trí não,en
concentrate on,Focus all one's attention or mental effort on a particular object or activity,üzerinde yoğunlaşmak,He is concentrating on the project.,phrasal verb,"concentrates on, concentrating on, concentrated on","focus on, attend to","ignore, neglect","concentrate on work, concentrate on studies",luyện trí não,en
concentration,The action or power of focusing one's attention or mental effort,konsantrasyon,This task requires full concentration.,noun,concentrations,"focus, attention","distraction, inattention","high concentration, lose concentration",luyện trí não,en
concept,An abstract idea; a general notion,kavram,The concept of freedom is central to the story.,"noun, verb",concepts,"idea, notion","reality, fact","basic concept, concept of",văn hóa,en
concern,Relate to; be about,ilgilendirmek,This matter concerns us all.,"verb, noun","concerns, concerning, concerned","involve, affect","ignore, dismiss","express concern, cause concern",khác,en
concerned,"Worried, troubled, or anxious",ilgili,She is concerned about his health.,adjective,concernedly,"worried, anxious","unconcerned, indifferent","deeply concerned, concerned about",khác,en
concerning,On the subject of or in connection with; about,hakkında,They had a discussion concerning the new policy.,"preposition, verb",concerning,"regarding, about",none,"concerning the issue, concerning the matter",trường học,en
concert,"A musical performance given in public, typically by several performers or of several separate compositions",konser,They went to a rock concert.,"noun, verb",concerts,"performance, recital",none,"live concert, concert hall",văn hóa,en
conclude,Bring (something) to an end,sonuçlandırmak,They concluded the meeting.,"verb, noun","concludes, concluding, concluded","finish, end","start, begin","conclude a deal, conclude a meeting",nghề nghiệp,en
conclusion,The end or finish of an event or process,sonuç,The conclusion of the trial was unexpected.,noun,conclusions,"end, outcome","beginning, start","draw a conclusion, final conclusion",khác,en
concrete,Existing in a material or physical form; not abstract,beton,They used concrete to build the foundation.,"noun, adjective",concretely,"tangible, real","abstract, immaterial","concrete evidence, concrete plan",khác,en
condition,"The state of something with regard to its appearance, quality, or working order",koşul,The car is in good condition.,"noun, verb",conditions,"state, shape","disrepair, neglect","working condition, poor condition",nghề nghiệp,en
conduct,Organize and carry out,yönetmek,They conduct business in an ethical manner.,"verb, noun","conducts, conducting, conducted","manage, direct","mismanage, neglect","conduct research, conduct an interview",du lịch,en
conference,A formal meeting for discussion,konferans,She attended a conference on climate change.,"noun, verb",conferences,"meeting, seminar","conversation, chat","international conference, press conference",nghề nghiệp,en
confidence,The feeling or belief that one can rely on someone or something; firm trust,güven,He has confidence in his abilities.,noun,confidences,"trust, belief","doubt, mistrust","gain confidence, lose confidence",nghề nghiệp,en
confident,Feeling or showing confidence in oneself; self-assured,kendine güvenen,She is confident in her decision.,adjective,confidently,"self-assured, assured","insecure, unsure","confident smile, confident attitude",nghề nghiệp,en
confine,"Keep or restrict someone or something within certain limits of (space, scope, quantity, or time)",sınırlamak,They confined the dog to the backyard.,"verb, noun","confines, confining, confined","restrict, limit","free, release","confine to a place, confine within limits",khác,en
confined,Restricted in area or volume; cramped,sınırlı,The patients are confined to their rooms.,adjective,confinedly,"restricted, limited","unconfined, free","confined space, confined area",khác,en
confirm,"Establish the truth or correctness of (something previously believed, suspected, or feared to be the case)",doğrulamak,Can you confirm your attendance?,"verb, noun","confirms, confirming, confirmed","verify, validate","deny, refute","confirm a reservation, confirm details",trường học,en
conflict,"A serious disagreement or argument, typically a protracted one",çatışma,The conflict between the two countries has escalated.,"noun, verb","conflicts, conflicting, conflicted","dispute, disagreement","agreement, harmony","armed conflict, conflict resolution",khác,en
confront,Face up to and deal with (a problem or difficult situation),yüzleşmek,She had to confront her fears.,"verb, noun","confronts, confronting, confronted","face, address","avoid, evade","confront a challenge, confront directly",nghề nghiệp,en
confuse,Cause (someone) to become bewildered or perplexed,kafasını karıştırmak,The instructions confused me.,"verb, noun","confuses, confusing, confused","bewilder, perplex","clarify, explain","confuse the issue, confuse easily",khác,en
confused,Unable to think clearly; bewildered,kafası karışmış,He looked confused when I asked him the question.,adjective,"confuses, confusing, confused","bewildered, perplexed","clear, certain","look confused, seem confused",trường học,en
confusing,Bewildering or perplexing,kafa karıştırıcı,The directions were confusing.,adjective,"confuses, confusing, confused","perplexing, baffling","clear, straightforward","confusing instructions, confusing message",khác,en
confusion,Lack of understanding; uncertainty,kargaşa,There was confusion about the meeting time.,noun,confusions,"uncertainty, bewilderment","clarity, certainty","create confusion, total confusion",nghề nghiệp,en
congratulate,Give (someone) one's good wishes when something special or pleasant has happened to them,tebrik etmek,I congratulate you on your success.,"verb, noun","congratulates, congratulating, congratulated","praise, commend","criticize, blame","congratulate warmly, congratulate sincerely",luyện trí não,en
congratulation,An expression of praise for an achievement or good wishes on a special occasion,tebrik,Congratulations on your new job.,noun,congratulations,"praise, applause","criticism, blame","offer congratulations, congratulations card",luyện trí não,en
congress,A formal meeting or assembly of representatives for discussion and action on particular matters,kongre,The congress will meet next week.,"noun, verb",congresses,"assembly, conference",none,"attend congress, annual congress",nghề nghiệp,en
connect,Bring together or into contact so that a real or notional link is established,bağlamak,She connected the wires.,"verb, noun","connects, connecting, connected","link, join","disconnect, separate","connect to the internet, connect cables",khác,en
connected,Brought together or into contact so that a link is established,bağlı,The devices are connected.,"adjective, verb","connects, connecting, connected","linked, joined","disconnected, separate","closely connected, directly connected",khác,en
connection,A relationship in which a person or thing is linked or associated with something else,bağlantı,There is a strong connection between diet and health.,"noun, verb",connections,"relationship, association","disconnection, separation","strong connection, internet connection",thức ăn,en
conscious,Aware of and responding to one's surroundings,bilinçli,He was conscious during the procedure.,adjective,consciously,"aware, alert","unaware, unconscious","fully conscious, conscious effort",luyện trí não,en
consequence,A result or effect of an action or condition,sonuç,Her decision had serious consequences.,"noun, verb",consequences,"result, effect","cause, source","serious consequence, direct consequence",luyện trí não,en
conservative,Holding to traditional attitudes and values and cautious about change or innovation,muhafazakar,He has conservative views.,"adjective, noun",conservatively,"traditional, cautious","progressive, liberal","conservative values, conservative approach",văn hóa,en
consider,"Think carefully about (something), typically before making a decision",düşünmek,He is considering changing jobs.,"verb, noun","considers, considering, considered","think, contemplate","ignore, disregard","consider carefully, consider options",luyện trí não,en
considerable,"Notably large in size, amount, or extent",önemli,He made a considerable amount of money.,"adjective, noun",considerables,"significant, substantial","insignificant, minor","considerable effort, considerable time",khác,en
considerably,By a notably large amount or to a notably large extent; greatly,oldukça,The project was considerably delayed.,adverb,considerably,"greatly, significantly","slightly, insignificantly","considerably different, considerably better",nghề nghiệp,en
consideration,"Careful thought, typically over a period of time",düşünce,She gave the proposal careful consideration.,noun,considerations,"thought, deliberation","disregard, neglect","take into consideration, careful consideration",du lịch,en
consist,Be composed or made up of,oluşmak,The committee consists of ten members.,"verb, noun","consists, consisting, consisted","be made up of, be composed of","exclude, eliminate","consist mainly of, consist entirely of",khác,en
consist of,Be composed or made up of,oluşmak,The meal consists of three courses.,phrasal verb,"consists of, consisting of, consisted of","be made up of, be composed of","exclude, eliminate","consist of parts, consist of elements",trường học,en
constant,Occurring continuously over a period of time,sürekli,The constant noise was annoying.,"adjective, noun",constants,"continuous, perpetual","intermittent, occasional","constant pressure, constant change",khác,en
constantly,Continuously over a period of time; always,sürekli olarak,She is constantly late.,adverb,constantly,"always, perpetually","rarely, infrequently","constantly changing, constantly moving",khác,en
construct,"Build or erect (something, typically a building, road, or machine)",inşa etmek,They are constructing a new building.,"verb, noun","constructs, constructing, constructed","build, erect","destroy, demolish","construct a building, construct a theory",khác,en
construction,"The action of building something, typically a large structure",inşaat,The construction of the bridge took two years.,"noun, verb",constructions,"building, erection","demolition, destruction","construction site, construction work",khác,en
consult,Seek information or advice from (someone with expertise in a particular area),danışmak,She consulted a lawyer.,"verb, noun","consults, consulting, consulted","seek advice, confer","ignore, neglect","consult a doctor, consult with",nghề nghiệp,en
consumer,A person who purchases goods and services for personal use,tüketici,Consumers are demanding more organic products.,"noun, verb",consumers,"buyer, customer","seller, provider","consumer behavior, consumer demand",nghề nghiệp,en
contact,The state or condition of physical touching,temas,They had close contact during the negotiation.,"noun, verb","contacts, contacting, contacted","touch, connection","separation, distance","close contact, maintain contact",khác,en
contain,Have or hold (someone or something) within,içermek,The box contains old photos.,"verb, noun","contains, containing, contained","include, hold","exclude, omit","contain information, contain an item",khác,en
container,An object that can be used to hold or transport something,konteyner,She put the cookies in a container.,"noun, verb",containers,"receptacle, holder",none,"storage container, shipping container",du lịch,en
contemporary,Living or occurring at the same time,çağdaş,Contemporary artists often explore different media.,"adjective, noun",contemporaries,"modern, current","ancient, old","contemporary art, contemporary music",nghề nghiệp,en
content,In a state of peaceful happiness,memnun,She was content with her life.,"adjective, noun",contents,"satisfied, pleased","discontent, unhappy","feel content, content smile",khác,en
contest,"An event in which people compete for supremacy in a sport, activity, or particular quality",yarışma,The contest was fierce and competitive.,"noun, verb","contests, contesting, contested","competition, challenge","cooperation, agreement","enter a contest, win a contest",luyện trí não,en
context,"The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed",bağlam,You need to consider the context to understand the meaning.,"noun, adjective",contexts,"circumstances, background","isolation, separation","context of the situation, historical context",luyện trí não,en
continent,"Any of the world's main continuous expanses of land (Europe, Asia, Africa, North and South America, Australia, Antarctica)",kıta,Africa is a continent.,"noun, adjective",continents,"landmass, territory","island, ocean","Asian continent, European continent",khác,en
continue,Persist in an activity or process,devam etmek,They continued their journey.,"verb, noun","continues, continuing, continued","persist, proceed","stop, discontinue","continue to work, continue with",du lịch,en
continuous,Forming an unbroken whole; without interruption,sürekli,The continuous noise was annoying.,"adjective, noun",continuously,"uninterrupted, constant","intermittent, sporadic","continuous improvement, continuous flow",khác,en
continuously,Without interruption or gaps,sürekli olarak,He worked continuously without a break.,adverb,continuously,"constantly, perpetually","intermittently, sporadically","continuously work, continuously move",nghề nghiệp,en
contract,"A written or spoken agreement, especially one concerning employment, sales, or tenancy, that is intended to be enforceable by law",sözleşme,They signed a new contract.,"noun, verb","contracts, contracting, contracted","agreement, deal","disagreement, dispute","sign a contract, breach a contract",nghề nghiệp,en
contrast,The state of being strikingly different from something else in juxtaposition or close association,zıtlık,There is a stark contrast between the two styles.,"noun, verb","contrasts, contrasting, contrasted","difference, disparity","similarity, resemblance","sharp contrast, in contrast",luyện trí não,en
contrasting,Differing strikingly,zıt,The artist used contrasting colors.,"adjective, verb","contrasts, contrasting, contrasted","differing, opposite","similar, alike","contrasting colors, contrasting views",nghề nghiệp,en
contribute,"Give (something, especially money) in order to help achieve or provide something",katkıda bulunmak,He contributed to the charity fund.,"verb, noun","contributes, contributing, contributed","donate, give","withdraw, take","contribute financially, contribute ideas",luyện trí não,en
contribution,A gift or payment to a common fund or collection,katkı,She made a significant contribution to the project.,"noun, verb",contributions,"donation, input","withdrawal, detract","financial contribution, make a contribution",nghề nghiệp,en
control,The power to influence or direct people's behavior or the course of events,kontrol,The company has control over the market.,"noun, verb","controls, controlling, controlled","management, oversight","chaos, disorder","gain control, lose control",nghề nghiệp,en
controlled,Determined by someone in authority to be such,kontrollü,The experiment was controlled by scientists.,"adjective, verb",controls,"regulated, directed","uncontrolled, unmanaged","controlled environment, controlled conditions",nghề nghiệp,en
convenient,"Fitting in well with a person's needs, activities, and plans",uygun,The location is convenient for shopping.,"adjective, noun",conveniently,"suitable, handy","inconvenient, unsuitable","convenient time, convenient location",luyện trí não,en
convention,"A way in which something is usually done, especially within a particular area or activity",gelenek,It is a long-standing convention.,"noun, verb",conventions,"custom, practice","disruption, deviation","social convention, political convention",khác,en
conventional,Based on or in accordance with what is generally done or believed,geleneksel,He has conventional views.,"adjective, noun",conventionally,"traditional, usual","unconventional, unusual","conventional method, conventional wisdom",luyện trí não,en
conversation,"A talk, especially an informal one, between two or more people, in which news and ideas are exchanged",konuşma,They had a long conversation over dinner.,"noun, verb",conversations,"discussion, dialogue","monologue, silence","deep conversation, casual conversation",du lịch,en
